rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	S0	T0	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB	eta_S0	eta_T0
1	2	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	31170.34449007493094541	30985.70151411245387862	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.29212221255666826	0.20855467673986894
2	2	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	35410.47061038348329021	31751.07237230063037714	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.41966262322283754	0.23295532041339051
3	2	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	24143.82610648624540772	29022.37675495646544732	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03668376651361704	0.14309596482621245
4	2	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	27925.31616504565317882	30080.04365804018016206	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.18218873368959798	0.17889077061773584
5	2	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	27198.23568790169883869	27449.45589638446836034	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.15580717364582597	0.08737516627328823
6	2	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	28503.48923798649411765	32929.77685035327158403	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.20268157604681214	0.26940614001998142
7	2	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	30357.23006142522717710	30768.65708213377365610	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.26568977877972699	0.20152536478151362
8	2	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	25958.21071642408787739	32141.47579204307112377	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.10914303168654094	0.24517609700651732
9	2	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	32646.99135259328977554	32555.99346981383132515	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.33840776987380039	0.25799030302112769
10	2	0.64725911415679038	0.00000000000000000	3.08316081146575005	0.00000000000000000	0.00000000000000000	0.22315408732922862	28673.49365928718179930	33981.29421638383064419	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.20862819700037960	0.30083902325023537
