rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
8	2	0.81821307593457537	-0.04740313897213247	3.98662182967743695	-0.08402393943957170	-0.04411623106752924	0.24554486775793796	0.20520149216735373	-0.04740313897213247	0.00000000000000000	-0.08402393943957170	-0.04411623106752924	0.00000000000000000
9	2	0.73657994474666089	-0.00609602586405809	3.98662182967743695	-0.13092858346110953	-0.05456297048342089	0.24554486775793796	0.12356836097943924	-0.00609602586405809	0.00000000000000000	-0.13092858346110953	-0.05456297048342089	0.00000000000000000
10	2	0.78176173129773496	0.19732714168809135	3.98662182967743695	-0.04787354852199890	0.03100549049455947	0.24554486775793796	0.16875014753051332	0.19732714168809135	0.00000000000000000	-0.04787354852199890	0.03100549049455947	0.00000000000000000
1	3	0.56741116971724115	-0.16150367393601253	3.98662182967743695	0.16299041285343521	0.04904898813754836	0.24554486775793796	-0.04560041404998050	-0.16150367393601253	0.00000000000000000	0.16299041285343521	0.04904898813754836	0.00000000000000000
2	3	0.57338648522618463	-0.00950777269281064	3.98662182967743695	-0.03539531782632623	-0.01866456609412313	0.24554486775793796	-0.03962509854103702	-0.00950777269281064	0.00000000000000000	-0.03539531782632623	-0.01866456609412313	0.00000000000000000
3	3	0.57708950500436995	0.07797780676832861	3.98662182967743695	-0.02020326047390263	0.01264329736038833	0.24554486775793796	-0.03592207876285169	0.07797780676832861	0.00000000000000000	-0.02020326047390263	0.01264329736038833	0.00000000000000000
4	3	0.55744066435257222	0.07307045847116170	3.98662182967743695	-0.01121039003567072	-0.09660810142202612	0.24554486775793796	-0.05557091941464942	0.07307045847116170	0.00000000000000000	-0.01121039003567072	-0.09660810142202612	0.00000000000000000
5	3	0.60242128109048088	0.01480164521835584	3.98662182967743695	-0.02775253720236735	-0.00169348656227582	0.24554486775793796	-0.01059030267674077	0.01480164521835584	0.00000000000000000	-0.02775253720236735	-0.00169348656227582	0.00000000000000000
6	3	0.60836255119499838	0.61185377105169070	3.98662182967743695	-0.10087440353383925	0.04155389975015240	0.24554486775793796	-0.00464903257222327	0.61185377105169070	0.00000000000000000	-0.10087440353383925	0.04155389975015240	0.00000000000000000
7	3	0.57980201187013491	0.03372530595065205	3.98662182967743695	0.02004461339573802	0.00300817956170207	0.24554486775793796	-0.03320957189708673	0.03372530595065205	0.00000000000000000	0.02004461339573802	0.00300817956170207	0.00000000000000000
