rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
1	2	0.76186235522893142	-0.05746112863599202	3.45104657151421179	0.00000000000000000	-0.01673200015878847	0.31717244876495976	0.14813783253839230	-0.05746112863599202	0.00000000000000000	0.00000000000000000	-0.01673200015878847	0.06799945046682254
2	2	0.71623228137373929	0.02999592970518287	3.45104657151421179	0.00000000000000000	-0.05199901896030006	0.30208136425527538	0.10250775868320017	0.02999592970518287	0.00000000000000000	0.00000000000000000	-0.05199901896030006	0.05290836595713816
3	2	0.73019849538299675	0.03191488570723128	3.45104657151421179	0.00000000000000000	-0.09450589408717713	0.23600830056587324	0.11647397269245763	0.03191488570723128	0.00000000000000000	0.00000000000000000	-0.09450589408717713	-0.01316469773226397
4	2	0.75755021795388666	0.15072080317708347	3.45104657151421179	0.00000000000000000	-0.09339947615122736	0.27153151900737854	0.14382569526334754	0.15072080317708347	0.00000000000000000	0.00000000000000000	-0.09339947615122736	0.02235852070924133
5	2	0.80467977606629959	-0.00754640215877878	3.45104657151421179	0.00000000000000000	-0.04237101281203015	0.25154298709152423	0.19095525337576047	-0.00754640215877878	0.00000000000000000	0.00000000000000000	-0.04237101281203015	0.00236998879338701
6	2	0.74726897103751166	0.07792107884913255	3.45104657151421179	0.00000000000000000	0.06141808200850808	0.35904856703073962	0.13354444834697254	0.07792107884913255	0.00000000000000000	0.00000000000000000	0.06141808200850808	0.10987556873260240
7	2	0.73649822309942981	-0.04758698072230994	3.45104657151421179	0.00000000000000000	-0.06218286344781714	0.32825259204213653	0.12277370040889068	-0.04758698072230994	0.00000000000000000	0.00000000000000000	-0.06218286344781714	0.07907959374399931
8	2	0.75908208495746776	-0.03087159143826212	3.45104657151421179	0.00000000000000000	-0.12187180040651291	0.24467340080071270	0.14535756226692864	-0.03087159143826212	0.00000000000000000	0.00000000000000000	-0.12187180040651291	-0.00449959749742451
9	2	0.75681564272231894	0.21347375311477157	3.45104657151421179	0.00000000000000000	-0.06597737624781008	0.28714210285967978	0.14309112003177982	0.21347375311477157	0.00000000000000000	0.00000000000000000	-0.06597737624781008	0.03796910456154257
10	2	0.76853005116812445	-0.41737796404737160	3.45104657151421179	0.00000000000000000	-0.14920204878455717	0.19761635068611985	0.15480552847758533	-0.41737796404737160	0.00000000000000000	0.00000000000000000	-0.14920204878455717	-0.05155664761201736
1	3	0.56081716231164214	-0.03380901783668924	3.45104657151421179	0.00000000000000000	0.09541924379926697	0.29662723029783877	-0.05290736037889698	-0.03380901783668924	0.00000000000000000	0.00000000000000000	0.09541924379926697	0.04745423199970156
