rep	id	rhoS	eta_deltaSC	rhoC_pop_value	eta_rhoC	eta_deltaCB	rhoB	eta_rhoS	eta_eta_deltaSC	eta_rhoC_pop_value	eta_eta_rhoC	eta_eta_deltaCB	eta_rhoB
6	2	0.68682176244366722	0.26310886075268325	3.55438702071337165	0.24891147273549713	0.02658538567442289	0.25227107272853005	0.07316440430864002	0.26310886075268325	0.00000000000000000	0.24891147273549713	0.02658538567442289	0.01104988601075649
7	2	0.76502016197400335	-0.06423995930107618	3.55438702071337165	0.09119929603730949	-0.06340823824170885	0.22441177753627362	0.15136280383897616	-0.06423995930107618	0.00000000000000000	0.09119929603730949	-0.06340823824170885	-0.01680940918149995
8	2	0.74216285603171339	0.12674081344763069	3.55438702071337165	0.05000875634947412	-0.05286654867964735	0.25785141197505024	0.12850549789668619	0.12674081344763069	0.00000000000000000	0.05000875634947412	-0.05286654867964735	0.01663022525727667
9	2	0.74586402161853116	0.04743123505907713	3.55438702071337165	0.09152322037903460	-0.00343829024625671	0.23079923301424757	0.13220666348350396	0.04743123505907713	0.00000000000000000	0.09152322037903460	-0.00343829024625671	-0.01042195370352600
10	2	0.74169096038485360	0.01209035042538734	3.55438702071337165	0.02172589364873091	-0.09696988030488424	0.23433727853191111	0.12803360224982641	0.01209035042538734	0.00000000000000000	0.02172589364873091	-0.09696988030488424	-0.00688390818586246
1	3	0.55024851096380101	-0.18295780884384799	3.55438702071337165	0.16232321491291610	-0.01232649734045176	0.20062822538873623	-0.06340884717122619	-0.18295780884384799	0.00000000000000000	0.16232321491291610	-0.01232649734045176	-0.04059296132903734
2	3	0.58006366872470683	0.01547828763082978	3.55438702071337165	-0.06398158660595524	-0.03418202040015654	0.18147684579789744	-0.03359368941032037	0.01547828763082978	0.00000000000000000	-0.06398158660595524	-0.03418202040015654	-0.05974434091987613
3	3	0.62133060675876117	0.20906386396206131	3.55438702071337165	-0.07593002429394095	0.05141222213247527	0.26104351561760086	0.00767324862373397	0.20906386396206131	0.00000000000000000	-0.07593002429394095	0.05141222213247527	0.01982232889982730
4	3	0.61327676922049690	-0.03396089346888685	3.55438702071337165	-0.13483608672007522	-0.04451404078740834	0.28450327420202609	-0.00038058891453030	-0.03396089346888685	0.00000000000000000	-0.13483608672007522	-0.04451404078740834	0.04328208748425252
5	3	0.60303562527253940	-0.05699001350064285	3.55438702071337165	-0.05238394595366982	0.04057029631359564	0.27669383762649619	-0.01062173286248780	-0.05699001350064285	0.00000000000000000	-0.05238394595366982	0.04057029631359564	0.03547265090872262
6	3	0.58434512798577420	-0.12851503302737619	3.55438702071337165	0.06482521354157941	-0.02971400734764775	0.26751753317347327	-0.02931223014925299	-0.12851503302737619	0.00000000000000000	0.06482521354157941	-0.02971400734764775	0.02629634645569970
7	3	0.65088767846671536	-0.15794284259249594	3.55438702071337165	-0.06692994278593424	-0.03431822985401213	0.20545658662646049	0.03723032033168816	-0.15794284259249594	0.00000000000000000	-0.06692994278593424	-0.03431822985401213	-0.03576460009131308
8	3	0.58676866370448988	-0.03460286885331836	3.55438702071337165	-0.02407835212464293	0.03967979156214380	0.28690158887557071	-0.02688869443053732	-0.03460286885331836	0.00000000000000000	-0.02407835212464293	0.03967979156214380	0.04568040215779715
9	3	0.56939578285088177	0.22610852082576444	3.55438702071337165	0.19799782784661124	0.09543104707291863	0.17859947711153590	-0.04426157528414543	0.22610852082576444	0.00000000000000000	0.19799782784661124	0.09543104707291863	-0.06262170960623767
10	3	0.53100831163267637	-0.00404769385750054	3.55438702071337165	-0.16841185841997386	-0.09582290795029672	0.19897611187110592	-0.08264904650235083	-0.00404769385750054	0.00000000000000000	-0.16841185841997386	-0.09582290795029672	-0.04224507484666765
1	4	0.75656270743273812	0.40237256537789012	3.55438702071337165	-0.01835920799273551	0.05091710314266741	0.22205989393296605	0.14290534929771093	0.40237256537789012	0.00000000000000000	-0.01835920799273551	0.05091710314266741	-0.01916129278480752
2	4	0.73693294316792846	0.49778708128288518	3.55438702071337165	-0.00264016472555445	-0.02450087567613018	0.26647868070698150	0.12327558503290126	0.49778708128288518	0.00000000000000000	-0.00264016472555445	-0.02450087567613018	0.02525749398920793
3	4	0.71314425512563484	0.42415536985130992	3.55438702071337165	0.05140818454140537	-0.08345602244152525	0.23451732863770797	0.09948689699060764	0.42415536985130992	0.00000000000000000	0.05140818454140537	-0.08345602244152525	-0.00670385808006560
4	4	0.75535161929119987	0.14869148852797004	3.55438702071337165	0.13981074530326282	0.02600326693741035	0.26227047103743240	0.14169426115617267	0.14869148852797004	0.00000000000000000	0.13981074530326282	0.02600326693741035	0.02104928431965883
5	4	0.79087466250167771	0.44768659905615688	3.55438702071337165	-0.11566753624530611	0.04759545885316101	0.27581032082653323	0.17721730436665051	0.44768659905615688	0.00000000000000000	-0.11566753624530611	0.04759545885316101	0.03458913410875966
6	4	0.74759628131120903	0.52326317002875289	3.55438702071337165	-0.09688905228425930	-0.11137850992583989	0.17480430137568073	0.13393892317618183	0.52326317002875289	0.00000000000000000	-0.09688905228425930	-0.11137850992583989	-0.06641688534209284
7	4	0.79162958737328082	0.32530238728841515	3.55438702071337165	0.04122394141019777	0.00598579743102078	0.22033229178118269	0.17797222923825362	0.32530238728841515	0.00000000000000000	0.04122394141019777	0.00598579743102078	-0.02088889493659088
8	4	0.73621480912544612	0.53814454173882686	3.55438702071337165	-0.03773784716655885	0.11643459809521646	0.36218708500072455	0.12255745099041893	0.53814454173882686	0.00000000000000000	-0.03773784716655885	0.11643459809521646	0.12096589828295098
9	4	0.75905299833158113	0.32309193984369033	3.55438702071337165	0.04954986248560216	0.11633205666721841	0.23565844766198457	0.14539564019655393	0.32309193984369033	0.00000000000000000	0.04954986248560216	0.11633205666721841	-0.00556273905578900
10	4	0.76159231430709406	0.40130644786073449	3.55438702071337165	-0.15150715940576259	-0.01673673274259083	0.23678253558451601	0.14793495617206687	0.40130644786073449	0.00000000000000000	-0.15150715940576259	-0.01673673274259083	-0.00443865113325756
1	5	0.63095282841849276	-0.10693640236110030	3.55438702071337165	0.00964206133256757	-0.12285394585711326	0.30451266912650143	0.01729547028346556	-0.10693640236110030	0.00000000000000000	0.00964206133256757	-0.12285394585711326	0.06329148240872787
2	5	0.63984781683898118	0.19271736171547713	3.55438702071337165	0.02571028029135593	-0.08497608083939054	0.29652691518039231	0.02619045870395398	0.19271736171547713	0.00000000000000000	0.02571028029135593	-0.08497608083939054	0.05530572846261875
3	5	0.58141768699129182	-0.01407560381126360	3.55438702071337165	0.10576885917159126	-0.09606373976528985	0.28914158929684725	-0.03223967114373538	-0.01407560381126360	0.00000000000000000	0.10576885917159126	-0.09606373976528985	0.04792040257907368
4	5	0.66701823399159954	0.00827277641916194	3.55438702071337165	0.05659458194896305	-0.09922819874302560	0.21427535290284841	0.05336087585657234	0.00827277641916194	0.00000000000000000	0.05659458194896305	-0.09922819874302560	-0.02694583381492516
5	5	0.61126444765578025	-0.14894510789593918	3.55438702071337165	0.03314432384819794	-0.17576580548913878	0.25726177504028686	-0.00239291047924695	-0.14894510789593918	0.00000000000000000	0.03314432384819794	-0.17576580548913878	0.01604058832251329
6	5	0.62806972966224517	-0.21527665412014246	3.55438702071337165	-0.05594907608967339	-0.19562108570876338	0.34245702210808288	0.01441237152721797	-0.21527665412014246	0.00000000000000000	-0.05594907608967339	-0.19562108570876338	0.10123583539030931
7	5	0.65894894476777810	-0.06099643275699397	3.55438702071337165	-0.02628031151686194	-0.12848550651588375	0.24983444062719962	0.04529158663275090	-0.06099643275699397	0.00000000000000000	-0.02628031151686194	-0.12848550651588375	0.00861325390942605
8	5	0.62870509741669389	0.34360771212478985	3.55438702071337165	0.07706240801933248	-0.05896224978542416	0.27099493270278274	0.01504773928166669	0.34360771212478985	0.00000000000000000	0.07706240801933248	-0.05896224978542416	0.02977374598500918
9	5	0.62297688440487020	-0.37762336927284174	3.55438702071337165	0.10620085808940483	-0.14901163042095547	0.27698182631124207	0.00931952626984300	-0.37762336927284174	0.00000000000000000	0.10620085808940483	-0.14901163042095547	0.03576063959346851
10	5	0.61843127258116082	-0.15716680325107321	3.55438702071337165	0.10348194168737532	-0.08312795824186808	0.21544488749767968	0.00477391444613362	-0.15716680325107321	0.00000000000000000	0.10348194168737532	-0.08312795824186808	-0.02577629922009389
