rep	id	rhoS	deltaSC	rhoC	deltaCB	rhoB	eta_rhoS	eta_deltaSC	eta_rhoC	eta_deltaCB	eta_rhoB
10	3	0.56999453761297847	0.23227126583990299	7.85099963527892797	9.95764945891176367	0.38841813659717045	-0.04076220340734726	0.03395720181961104	-0.12367738553692309	0.00717569317096034	0.10291864527649280
1	4	0.74549636018457821	0.26944025220415091	8.11636274795813151	9.97380848825333288	0.17472532067350938	0.13473961916425248	0.18239793096734047	0.14168572714228045	0.00879715336968312	-0.11077417064716827
2	4	0.72521797089927309	0.26184257067363281	8.00007189590629864	10.00215311561163567	0.27061638207061239	0.11446122987894736	0.15379471175468451	0.02539487509044758	0.01163502890661761	-0.01488310925006525
3	4	0.72013436467889214	0.26864995207793985	8.24408941629562975	9.92723483284252062	0.32051819623466343	0.10937762365856640	0.17946050267676927	0.26941239547977869	0.00411662082825659	0.03501870491398579
4	4	0.71116085190787204	0.24349313852437857	7.86597144057963860	9.84856114819935335	0.33558520195624619	0.10040411088754631	0.08114002746394688	-0.10870558023621246	-0.00383998428351084	0.05008571063556855
5	4	0.72271557662158192	0.26096564038135300	7.95556030586233121	9.81967767520095336	0.18374245781263149	0.11195883560125619	0.15044001649110750	-0.01911671495351985	-0.00677705394399775	-0.10175703350804616
6	4	0.72528116951462129	0.30281475437316252	7.89243642340009455	9.96901182927719098	0.17908441562737792	0.11452442849429556	0.29917251072271833	-0.08224059741575651	0.00831611217367723	-0.10641507569329972
7	4	0.69874503673103472	0.24985267166801362	8.11786170388092465	9.85106130500843413	0.25739124280275555	0.08798829571070899	0.10692269470392213	0.14318468306507359	-0.00358615639128157	-0.02810824851792210
8	4	0.75198321089645870	0.32506693587421204	7.99399591118049191	9.95387929007783434	0.20773526619697177	0.14122646987613297	0.37008238154261042	0.01931889036464085	0.00679700111506509	-0.07776422512370587
9	4	0.70268273083723776	0.24868033398474554	7.99904967347037044	9.95901678814590596	0.18467313276373806	0.09192598981691202	0.10221953631338798	0.02437265265451938	0.00731299820176501	-0.10082635855693958
10	4	0.77488858002342242	0.25412502314231616	7.97579487654734898	9.89899662437604100	0.25262370974899478	0.16413183900309669	0.12387762689814275	0.00111785573149792	0.00126804845866602	-0.03287578157168286
1	5	0.66628292563065761	0.22684578037062680	8.02664509831376627	9.94847538565469947	0.39181951791404268	0.05552618461033187	0.01032166885290353	0.05196807749791521	0.00625395938518158	0.10632002659336504
2	5	0.63586228201104167	0.29054786143151534	8.21322984110591214	9.82898990076945367	0.45893489633372681	0.02510554099071594	0.25781958196232035	0.23855282029006109	-0.00582918038160773	0.17343540501304916
